,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,view_history,rt,response,condition
1,,,,,,image-button-response,2,5492,0.0-1.0-1.0-0.0,,1128.0,-1.0,0.0
2,,,,,,image-button-response,3,6054,0.0-1.0-1.0-1.0,,560.0,1.0,0.0
3,,,,,,image-button-response,4,6717,0.0-1.0-1.0-2.0,,662.0,-1.0,0.0
4,,,,,,image-button-response,5,7287,0.0-1.0-1.0-3.0,,569.0,1.0,0.0
5,,,,,,image-button-response,6,7442,0.0-1.0-1.0-4.0,,154.0,1.0,0.0
6,,,,,,image-button-response,7,7597,0.0-1.0-1.0-5.0,,152.0,1.0,0.0
7,,,,,,image-button-response,8,8018,0.0-1.0-1.0-6.0,,419.0,1.0,0.0
8,,,,,,image-button-response,9,8390,0.0-1.0-1.0-7.0,,371.0,1.0,0.0
9,,,,,,image-button-response,10,8763,0.0-1.0-1.0-8.0,,372.0,1.0,0.0
10,,,,,,image-button-response,11,9080,0.0-1.0-1.0-9.0,,316.0,1.0,0.0
